Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-11-12,71.08261015710342,71.64992792523364,70.71505242406943,71.2583999633789,2220100,0.0,0
2012-11-13,70.7949477756737,72.06542463533128,70.6031798690772,71.1784896850586,2985900,0.0,0
2012-11-14,71.25040577934247,71.41820347239187,69.5724227526563,69.76419067382812,2882700,0.0,0
2012-11-15,69.30872698122917,70.54724140341163,69.30872698122917,70.33149719238281,3291600,0.0,0
2012-11-16,70.41140150317283,71.41818743539477,70.11575453160172,70.71503448486328,5237100,0.0,0
2012-11-19,71.31432999103332,71.67389560293137,70.93078805497544,71.57002258300781,2688600,0.0,0
2012-11-20,71.6504754817228,72.13307735728874,71.10352505298385,71.60221099853516,2035100,0.59,0
2012-11-21,71.65047922007324,71.70678267288329,71.31265850321292,71.53787231445312,2011300,0.0,0
2012-11-23,71.81939104990224,72.65590389208685,71.7067841419751,72.61568450927734,1101100,0.0,0
2012-11-26,72.02046998524953,72.59154958352939,72.02046998524953,72.46285247802734,1910200,0.0,0
2012-11-27,72.54326910353906,73.16260685910767,72.48696567121463,72.63978576660156,2504200,0.0,0
2012-11-28,72.47090156422298,73.19480748091792,71.97221559453453,73.13850402832031,2426200,0.0,0
2012-11-29,73.47631109374078,73.9750031074001,72.80066978808779,72.91327667236328,2364000,0.0,0
2012-11-30,72.93742569591772,73.34764010693318,72.78459939568093,73.15459442138672,2284900,0.0,0
2012-12-03,73.52458347759183,73.74175216730313,72.48698610093649,72.63176727294922,1929200,0.0,0
2012-12-04,72.63980438749137,72.94545692984563,72.39046142851011,72.48698425292969,1969800,0.0,0
2012-12-05,72.63176742457966,73.35566714953899,72.06872680485887,73.00176239013672,2996600,0.0,0
2012-12-06,73.03394853869096,73.26720133631385,72.63981819982939,73.15459442138672,2027700,0.0,0
2012-12-07,73.38783617508446,73.7337019432818,72.9374086208238,73.60501098632812,2476400,0.0,0
2012-12-10,73.49240779366235,74.38522398119632,73.4763175878495,73.89457702636719,2847700,0.0,0
2012-12-11,74.52195055879399,75.52737351253754,74.40129857702183,75.35041809082031,3821600,0.0,0
2012-12-12,75.38260338693657,75.60781717965577,74.41739352820564,74.9000015258789,4064900,0.0,0
2012-12-13,74.76325599789821,75.16542522034331,74.12783402665644,74.40130615234375,2621400,0.0,0
2012-12-14,73.99913619511143,74.46565396130306,73.99913619511143,74.22434997558594,2709000,0.0,0
2012-12-17,74.31282249907838,74.89194711501843,74.10369280185229,74.82759857177734,2750700,0.0,0
2012-12-18,74.90804265377251,75.60781936129813,74.80348085745453,75.48716735839844,2800000,0.0,0
2012-12-19,75.54345529264931,75.59171976586582,74.7793363255834,74.81954956054688,3254800,0.0,0
2012-12-20,75.08498128618216,75.72040929826596,74.97237441179914,75.71236419677734,3289800,0.0,0
2012-12-21,74.62650785877447,75.33432950316988,73.95086661997631,74.88389587402344,5975500,0.0,0
2012-12-24,74.56216858656693,75.38259720604914,74.55412962078296,74.956298828125,953400,0.0,0
2012-12-26,75.08498548989047,75.39063799742613,74.60238369599942,74.85977172851562,1542900,0.0,0
2012-12-27,74.89195608165967,74.94021442656091,73.73370671110506,74.513916015625,2360900,0.0,0
2012-12-28,73.9830607190886,74.64261806848764,73.68545325368787,73.82218933105469,1877300,0.0,0
2012-12-31,73.63717936498344,74.73911899153325,73.51652738357475,74.68281555175781,2580600,0.0,0
2013-01-02,75.7606346424151,76.24323644733778,75.57563411327703,76.23519134521484,3206700,0.0,0
2013-01-03,75.88130292601967,76.35586590574216,75.71239255118795,76.14673614501953,2704600,0.0,0
2013-01-04,76.24322961894305,76.79822502003657,76.0421450401833,76.70974731445312,2704900,0.0,0
2013-01-07,76.42824955648861,76.9993353513878,76.21912594299894,76.80628967285156,2745800,0.0,0
2013-01-08,76.54888265596274,77.01540039222279,76.49257921445651,76.81431579589844,2655500,0.0,0
2013-01-09,77.11193636864107,77.81170695584888,76.9832392594531,77.54627990722656,2359700,0.0,0
2013-01-10,77.78756138029591,78.01277513727194,77.4819150153448,77.93234252929688,2600600,0.0,0
